subject_id,loc_plot_state1,loc_plot_city1,loc_plot_state2,loc_plot_city2,year_exposure,plot_target1,plot_target2,plot_target3,attack_preparation,changing_target,anticp_fatals_targ,internet_use_plot,extent_plot,violent,primary_event_mass_casualty_inci,q,r,foreign_fighter,criminal_severity,criminal_charges,indict_arrest,current_status,group_membership,actively_recruited,recruiter1,recruiter2,recruiter3,actively_connect,group_competition,role_group,length_group,clique,internet_radicalization,media_radicalization,social_media,social_media_frequency,social_media_platform1,social_media_platform2,social_media_platform3,social_media_platform4,social_media_platform5,social_media_activities1,social_media_activities2,social_media_activities3,social_media_activities4,social_media_activities5,social_media_activities6,social_media_activities7,radicalization_islamist,radicalization_far_right,radicalization_far_left,radicalization_single_issue,ideological_sub_category1,ideological_sub_category2,ideological_sub_category3,loc_habitation_state1,loc_habitation_city1,loc_habitation_state2,loc_habitation_city2,itinerant,external_rad,rad_duration,radical_behaviors,radical_beliefs,us_govt_leader,foreign_govt_leader,event_influence1,event_influence2,event_influence3,event_influence4,radicalization_sequence,radicalization_place,prison_radicalize,broad_ethnicity,age,marital_status,children,gender,religious_background,convert,reawakening,citizenship,residency_status,nativity,time_us_months,immigrant_generation,immigrant_source,education,student,employment_status,work_history,military,military_status_arrest,foreign_military,social_stratum_childhood,social_stratum_adulthood,abuse_child,abuse_adult,abuse_type1,abuse_type2,abuse_type3,psychological,alcohol_drug,radical_friend,radical_family,radical_signif_other,previous_criminal_activity,previous_criminal_activity_type1,previous_criminal_activity_type2,previous_criminal_activity_type3,previous_criminal_activity_age,gang,gang_age_joined,trauma,other_ideologies,angry_us,group_grievance,component_id,component_density,lone_offender,degree_centrality,betweenness_centrality,closeness_centrality
3211,Virginia,-99,,,2003,-88,,,-88,-88,-88,-88,0,0,-88,-88,-88,0,5,-99,4,1,2,-99,-99,,,-99,0,2,-99,0,,0,,,,,,,,,,,,,,,0,0,0,1,15,,,Virginia,-99,,,0,0,-99,9,5,0,0,0,,,,1,-99,-88,3,32,-99,-99,2,11,0,-99,United States of America,1,United States of America,384,0,-88,-99,-99,-99,-99,0,-88,0,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,,,-99,0,-88,-99,0,0,-99,4,0.04375461936437546,0,5,.0022766063768342,0.103495019744209
3213,New York,Buffalo,,,1992,-88,,,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,1,1,1,-99,-99,,,-99,-99,3,-99,1,,,,,,,,,,,,,,,,,0,0,0,1,15,,,New York,Tonawanda,,,1,0,3,9,5,1,0,-99,,,,1,-99,-88,3,34,2,2,2,6,1,-99,United States of America,1,United States of America,408,0,-88,7,-99,1,3,0,-88,0,2,2,0,0,-88,,,0,0,2,2,1,0,-88,,,-88,0,-88,-99,0,1,3,384,-88.0,0,1,0,1.0
3215,Wisconsin,Milwaukee,,,1992,-88,,,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,2,1,1,1,0,-88,,,-99,-99,3,-99,0,,0,,,,,,,,,,,,,,,0,0,0,1,15,,,Michigan,Detroit,,,1,0,2,5,5,1,0,8,,,,1,0,-88,3,33,2,4,2,6,1,0,United States of America,1,United States of America,396,0,-88,5,0,1,4,0,-88,0,2,2,0,0,-88,,,0,1,-99,-99,1,3,3,7,8,1,1,3,-99,0,1,-99,4,0.04375461936437546,0,13,0.013821677106077738,0.115200419864856
3216,New York,New York,,,1992,-88,,,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,1,-99,1,-99,-99,,,-99,-99,2,-99,0,,,,,,,,,,,,,,,,,0,0,0,1,15,,,New York,New York,,,-99,-99,-99,9,5,-99,-99,-99,,,,-99,-99,-99,3,37,-99,-99,2,-99,0,-99,United States of America,1,United States of America,-99,0,-88,-99,0,-99,-99,0,-88,-99,-99,-99,0,0,-88,,,0,0,3,-99,-99,-99,-99,,,-99,0,-88,-99,0,-99,1,1118,-88.0,1,0,0,0.0
3218,Florida,Pensacola,,,1985,5,,,1,-99,2,-88,0,0,,,,0,9,2,4,4,2,-99,-99,,,0,0,2,-99,0,,,,,,,,,,,,,,,,,0,0,0,1,15,,,Florida,Cantonment,,,-99,0,-99,9,5,-99,-99,0,,,,-99,1,-88,3,18,2,0,1,6,0,-99,United States of America,1,United States of America,216,0,-88,-99,-99,-99,-99,0,-88,0,-99,-99,0,0,-88,,,1,0,3,-99,3,-99,-99,,,-99,0,-88,-99,0,-99,-99,4,0.04375461936437546,0,4,0,0.0940999946412303
3221,Virginia,Norfolk,,,1994,-88,,,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,2,1,1,0,-88,,,0,0,3,-99,0,,0,,,,,,,,,,,,,,,0,0,0,1,15,,,Virginia,Norfolk,,,1,0,3,9,5,0,0,0,,,,1,0,-88,3,36,2,6,2,11,0,0,United States of America,1,United States of America,432,0,-88,5,0,1,4,0,-88,0,-99,3,0,0,-88,,,0,0,3,1,1,0,-88,,,-88,0,-88,0,0,1,0,4,0.04375461936437546,0,9,1.473824141187552E-4,0.109339975093399
3224,Pennsylvania,Wilkinsburg,,,2000,14,,,-99,-99,1,-99,5,1,1,1,0,0,10,2,-99,-99,0,-99,-99,,,-99,-88,-88,-88,0,,,,,,,,,,,,,,,,,0,0,0,1,18,,,Pennsylvania,Wilkinsburg,,,-99,0,-99,10,5,-99,-99,-99,,,,2,-99,-99,2,39,-99,-99,2,-99,0,-99,United States of America,1,United States of America,468,0,-88,-99,-99,3,1,0,-88,0,-99,1,0,0,-88,,,0,0,-99,-99,-99,-99,-99,,,-99,0,-88,-99,0,-99,-99,1119,-88.0,1,0,0,0.0
3228,Florida,Pensacola,,,1984,5,,,2,0,0,-88,5,1,,,,0,7,2,4,4,2,1,3,2,,0,0,2,-99,0,,2,,,,,,,,,,,,,,,0,0,0,1,15,,,Florida,Pensacola,,,0,0,2,7,5,1,0,0,,,,1,1,-88,3,18,1,0,1,6,0,0,United States of America,1,United States of America,216,0,-88,3,1,-99,1,0,-88,0,2,2,0,0,-88,,,1,0,3,0,3,0,-88,,,-88,0,-88,2,0,1,1,4,0.04375461936437546,0,4,0,0.0940999946412303
3230,Missouri,Saint Louis,,,1980,-88,,,-88,-88,-88,-88,0,0,,,,0,2,1,2,1,1,0,-88,,,1,1,3,12,0,,1,,,,,,,,,,,,,,,0,0,0,1,15,,,Missouri,Saint Louis,,,0,0,2,9,5,0,0,0,,,,1,3,-88,3,24,1,0,2,8,0,0,United States of America,1,United States of America,288,0,-88,-99,1,1,4,0,-88,0,2,2,1,0,3,,,1,0,2,1,0,0,-88,,,-88,0,-88,1,0,1,1,4,0.04375461936437546,0,5,.0056737274413042,0.107001401498994
3231,California,San Diego,,,1987,5,,,1,-99,-99,-88,0,0,,,,0,9,2,4,-99,0,-99,-99,,,-99,-88,-88,-88,0,,,,,,,,,,,,,,,,,0,0,0,1,15,,,California,El Cajon,,,-99,-99,-99,9,1,-99,-99,-99,,,,-99,1,-99,-99,54,-99,-99,2,-99,0,-99,United States of America,1,United States of America,648,0,-88,-99,-99,1,4,-99,-99,-99,-99,2,0,0,-88,,,0,0,-99,-99,-99,-99,-99,,,-99,0,-88,-99,0,-99,1,4,0.04375461936437546,0,7,0,0.0882500753844607
